trading_date,overnight_return,morning_return,signal_payoff,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2020-03-13,-0.1005412292218774,-0.004517399641203375,-0.004517399641203375,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-16,0.023461486678997966,-0.006105557562485147,0.006105557562485147,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-17,-0.018899617598754907,0.026596517645565348,0.026596517645565348,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-18,0.01520375090203951,0.007662872745569097,-0.007662872745569097,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-19,0.021331738716474466,-0.021331738716474334,0.021331738716474334,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-23,-0.00304044016526682,-0.0009139376112172311,-0.0009139376112172311,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-24,0.03562420498712747,0.011692704156085752,-0.011692704156085752,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-25,0.03945391469346824,0.0026462042432732653,-0.0026462042432732653,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-26,-0.032703336336450534,-0.00026813245904046593,-0.00026813245904046593,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-27,0.04486733835705834,-0.023250717129148373,0.023250717129148373,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
